Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12 14:30:00+00:00,652.5250244140625,653.969970703125,646.6599731445312,647.6749877929688,2105540,246.8000030517578,248.47999572753906,246.24000549316406,247.6699981689453,6074745,326.5,334.44000244140625,325.510009765625,331.2099914550781,4098995,259.4100036621094,261.29998779296875,256.79998779296875,260.3500061035156,8505619,89.69000244140625,90.33499908447266,89.625,89.77999877929688,6051754
2026-01-12 15:30:00+00:00,647.6920776367188,649.25,645.4299926757812,648.0479736328125,1338737,247.64999389648438,248.23280334472656,247.03819274902344,247.64759826660156,2280502,331.17999267578125,331.2799987792969,327.5199890136719,329.94500732421875,2505363,260.364990234375,260.45001220703125,259.04998779296875,260.2300109863281,3280015,89.7699966430664,90.11000061035156,89.6500015258789,90.10590362548828,2871138
2026-01-12 16:30:00+00:00,648.0449829101562,650.969970703125,647.4201049804688,649.4299926757812,933956,247.64210510253906,248.44500732421875,247.52999877929688,248.0998992919922,1937328,329.91558837890625,330.9599914550781,329.8599853515625,330.67999267578125,974380,260.2300109863281,261.1099853515625,259.7099914550781,260.60931396484375,2709473,90.11000061035156,90.16000366210938,89.71499633789062,89.79000091552734,2577218
2026-01-12 17:30:00+00:00,649.3200073242188,649.7042236328125,646.625,647.4099731445312,574855,248.08999633789062,248.27999877929688,247.77000427246094,248.08999633789062,1541988,330.6499938964844,331.07000732421875,329.82000732421875,330.572509765625,752248,260.6000061035156,261.29998779296875,260.3500061035156,260.8900146484375,2160352,89.79000091552734,89.88500213623047,89.54000091552734,89.63500213623047,1888101
2026-01-12 18:30:00+00:00,647.530029296875,647.9299926757812,646.1199951171875,647.5700073242188,733180,248.08999633789062,248.19500732421875,247.36000061035156,248.0050048828125,1876944,330.6300048828125,331.32000732421875,330.2099914550781,330.93499755859375,1110735,260.8909912109375,260.94000244140625,260.19000244140625,260.6400146484375,1974059,89.63999938964844,89.66000366210938,89.4126968383789,89.56500244140625,1985881
2026-01-12 19:30:00+00:00,647.6199951171875,648.5399780273438,646.6699829101562,647.0750122070312,654221,248.0,248.94000244140625,246.73629760742188,247.0500030517578,2652117,330.9471130371094,332.1700134277344,330.9200134277344,331.5773010253906,1231186,260.6499938964844,261.19000244140625,260.48529052734375,260.9700012207031,2654547,89.55999755859375,89.91999816894531,89.52999877929688,89.74500274658203,2160219
2026-01-12 20:30:00+00:00,647.010009765625,648.25,641.2249755859375,642.0499877929688,1852364,247.00999450683594,247.3000030517578,245.9600067138672,246.4199981689453,11489227,331.5899963378906,333.0050048828125,331.41009521484375,332.7272033691406,1650601,260.9599914550781,261.1300048828125,260.010009765625,260.2099914550781,2380012,89.74500274658203,89.8499984741211,89.33000183105469,89.42320251464844,10397058
2026-01-13 14:30:00+00:00,641.7000122070312,641.9974975585938,625.080078125,625.9301147460938,4382077,246.72999572753906,247.66000366210938,242.72000122070312,243.5491943359375,6430474,335.3500061035156,341.1700134277344,334.3500061035156,336.239990234375,5723375,258.7200012207031,261.80999755859375,258.3900146484375,260.090087890625,8478567,89.37999725341797,91.0,89.06999969482422,89.44999694824219,6955828
