Ticker,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31 14:30:00+01:00,576.77001953125,578.6500244140625,569.1386108398438,570.1500244140625,2623162,319.55999755859375,321.2349853515625,315.45001220703125,315.7099914550781,6501007,339.989990234375,340.6300048828125,333.42999267578125,333.760498046875,3958062,80.87999725341797,81.51000213623047,80.6500015258789,80.97989654541016,3358250,263.82501220703125,264.260009765625,259.71600341796875,260.0799865722656,7994168
2026-08-31 15:30:00+01:00,570.0900268554688,573.1599731445312,569.2999877929688,571.6500244140625,1242831,315.7099914550781,315.82000732421875,314.3599853515625,315.06988525390625,3307355,333.7699890136719,335.3699951171875,333.6200866699219,334.94000244140625,1947529,80.9800033569336,81.6449966430664,80.80999755859375,81.58999633789062,2298667,260.04998779296875,261.80999755859375,259.7300109863281,261.5683898925781,3264597
2026-08-31 16:30:00+01:00,571.5999755859375,572.2899780273438,570.2999877929688,570.75,715363,315.0400085449219,315.2250061035156,313.94000244140625,314.6700134277344,2437167,334.9599914550781,335.1700134277344,334.25640869140625,334.70001220703125,1288897,81.59500122070312,81.72000122070312,81.37999725341797,81.48500061035156,1437689,261.54998779296875,261.5799865722656,260.6499938964844,260.95001220703125,1912225
2026-08-31 17:30:00+01:00,570.7730102539062,571.969970703125,570.4199829101562,571.0599975585938,753240,314.6000061035156,316.0,312.79998779296875,313.8800048828125,3893327,334.7200012207031,335.2298889160156,334.2300109863281,334.67999267578125,876695,81.48500061035156,81.7300033569336,81.43000030517578,81.5,1702979,260.94500732421875,261.6693115234375,260.70001220703125,260.7950134277344,1923024
2026-08-31 18:30:00+01:00,570.8607788085938,574.10498046875,570.8607788085938,571.5999755859375,1044543,313.8500061035156,316.0199890136719,313.385009765625,315.68499755859375,2695119,334.6600036621094,335.18499755859375,334.3800048828125,334.4700012207031,1022322,81.49500274658203,81.59989929199219,81.41000366210938,81.5199966430664,1049646,260.79998779296875,261.3800048828125,257.1499938964844,257.82501220703125,6644878
2026-08-31 19:30:00+01:00,571.5753173828125,576.1799926757812,570.6937866210938,572.7550048828125,1498745,315.681884765625,316.1600036621094,315.010009765625,316.0249938964844,2227790,334.4800109863281,335.46990966796875,334.3399963378906,335.0400085449219,1098897,81.51499938964844,81.62999725341797,81.34500122070312,81.38999938964844,2008863,257.8500061035156,259.17999267578125,257.3699951171875,258.9800109863281,4659056
2026-08-31 20:30:00+01:00,572.8200073242188,575.1599731445312,571.4400024414062,572.9099731445312,1682821,316.0299987792969,317.69000244140625,315.7099914550781,317.2300109863281,5002995,335.0299987792969,337.739990234375,334.79998779296875,335.489990234375,2636863,81.39540100097656,81.54000091552734,80.87000274658203,81.04000091552734,3506235,258.9800109863281,261.3900146484375,258.9100036621094,259.92999267578125,6389628
2026-09-01 14:30:00+01:00,557.7999877929688,570.219970703125,556.469970703125,569.760009765625,3179089,316.9800109863281,325.3900146484375,314.73699951171875,325.3445129394531,14540988,332.29998779296875,333.81939697265625,329.2900085449219,333.2749938964844,3665241,80.11199951171875,82.08999633789062,79.5999984741211,81.9800033569336,5119635,254.8300018310547,255.82000732421875,251.92999267578125,254.5561981201172,8991244
