Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-13 13:30:00+00:00,217.6999969482422,220.42999267578125,217.0399932861328,220.11000061035156,11916565,1221.9300537109375,1231.1199951171875,1206.81005859375,1227.360107421875,591757,249.3800048828125,249.49000549316406,245.55999755859375,246.37600708007812,9359382,240.97000122070312,243.17999267578125,240.75,241.6300048828125,3137872,713.010009765625,719.9400024414062,707.6412963867188,716.6500244140625,3474259
2025-10-13 14:30:00+00:00,220.10000610351562,220.5399932861328,218.69000244140625,220.16000366210938,5313426,1227.3599853515625,1230.9898681640625,1219.27001953125,1223.1650390625,243480,246.3699951171875,248.65989685058594,246.22999572753906,248.59030151367188,5816790,241.5850067138672,243.25999450683594,240.91000366210938,242.94000244140625,1431030,716.64501953125,718.4149780273438,708.0800170898438,713.8599853515625,1424938
2025-10-13 15:30:00+00:00,220.1697998046875,220.6699981689453,219.89999389648438,220.1699981689453,3478186,1223.81005859375,1226.25,1220.300048828125,1224.1949462890625,187927,248.6199951171875,249.6199951171875,248.36000061035156,249.17999267578125,3115587,242.89999389648438,243.8000030517578,242.72999572753906,243.54600524902344,1096593,714.0,714.75,711.7100219726562,714.0999755859375,621689
2025-10-13 16:30:00+00:00,220.1699981689453,220.58999633789062,219.86050415039062,220.0500030517578,2850696,1223.27001953125,1224.989990234375,1218.22998046875,1220.2550048828125,172973,249.1699981689453,249.68930053710938,248.5500030517578,249.1042022705078,2298264,243.5,243.82000732421875,242.5449981689453,243.01840209960938,1244831,714.2100219726562,714.8900146484375,712.1492919921875,713.135009765625,478944
2025-10-13 17:30:00+00:00,220.0500030517578,220.57000732421875,219.69009399414062,220.52499389648438,2655303,1220.64501953125,1222.094970703125,1218.1800537109375,1219.2099609375,178239,249.08999633789062,249.32000732421875,248.68800354003906,249.1461944580078,2175748,243.00999450683594,244.0399932861328,242.89999389648438,243.8199005126953,780801,713.030029296875,715.489990234375,712.10009765625,714.9605102539062,499360
2025-10-13 18:30:00+00:00,220.52499389648438,220.63999938964844,219.8000030517578,220.1199951171875,2489006,1219.0899658203125,1221.9300537109375,1216.56005859375,1220.75,167378,249.13999938964844,249.24000549316406,248.1300048828125,248.32000732421875,2310709,243.82000732421875,244.00999450683594,243.25,243.82000732421875,782277,714.9000244140625,715.469970703125,712.8400268554688,714.625,561849
2025-10-13 19:30:00+00:00,220.11000061035156,220.55999755859375,219.94000244140625,220.0,3852204,1221.0550537109375,1223.113525390625,1218.2000732421875,1218.6500244140625,268263,248.32000732421875,248.58999633789062,247.3300018310547,247.58999633789062,3786722,243.80999755859375,244.99000549316406,243.7899932861328,244.64999389648438,1726391,714.5599975585938,716.0,713.9000244140625,715.4810180664062,1050982
2025-10-14 13:30:00+00:00,215.39999389648438,216.60000610351562,212.60000610351562,216.4250030517578,13903268,1214.75,1215.4150390625,1203.0999755859375,1215.1099853515625,595882,246.61500549316406,247.22999572753906,244.6999969482422,247.02000427246094,6901149,241.86000061035156,245.24000549316406,241.17750549316406,245.11000061035156,3262497,708.0,710.989990234375,699.3300170898438,709.8980102539062,2649450
