Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20 14:30:00+01:00,333.0249938964844,333.7099914550781,326.1099853515625,327.0199890136719,11178368,646.7000122070312,646.7899780273438,636.010498046875,641.9899291992188,2211955,350.1700134277344,359.489990234375,350.0050048828125,358.30999755859375,3566401,68.31500244140625,68.37999725341797,66.69000244140625,67.52999877929688,16895534,248.75,250.77999877929688,248.1199951171875,249.44500732421875,5797092
2026-07-20 15:30:00+01:00,327.0199890136719,328.0199890136719,324.4200134277344,324.8999938964844,7312927,642.1699829101562,648.9600219726562,641.9099731445312,648.0,1107336,358.3599853515625,358.9049987792969,355.7699890136719,356.7099914550781,1228721,67.53500366210938,68.0353012084961,67.22000122070312,67.77999877929688,8139717,249.47000122070312,251.3300018310547,249.25,251.25999450683594,3416336
2026-07-20 16:30:00+01:00,324.94000244140625,326.5450134277344,324.8699951171875,325.0,4701093,648.0050048828125,652.1400146484375,646.7205200195312,652.0750122070312,1139124,356.69000244140625,357.5,354.7099914550781,354.95001220703125,1037604,67.78500366210938,68.25,67.53500366210938,67.8949966430664,5994948,251.2949981689453,252.57000732421875,251.25010681152344,252.4759979248047,2800714
2026-07-20 17:30:00+01:00,325.0199890136719,325.1449890136719,323.70001220703125,324.7200012207031,4126525,652.0750122070312,653.2999877929688,648.3280029296875,649.7750244140625,920136,354.9700012207031,355.6600036621094,351.8900146484375,352.510009765625,1160852,67.8949966430664,67.91000366210938,67.44249725341797,67.77999877929688,6004422,252.5,252.88999938964844,249.9217987060547,250.44000244140625,4051473
2026-07-20 18:30:00+01:00,324.7300109863281,326.489990234375,324.20001220703125,325.94000244140625,5044844,649.7899780273438,650.1500244140625,647.3599853515625,648.260009765625,673910,352.5350036621094,353.5,351.5801086425781,351.75,1019243,67.80000305175781,67.84500122070312,67.07499694824219,67.37000274658203,5158085,250.44500732421875,250.82000732421875,250.13999938964844,250.25,2174905
2026-07-20 19:30:00+01:00,325.9800109863281,329.0799865722656,325.30999755859375,329.0199890136719,5761535,648.3150024414062,649.8098754882812,645.8101196289062,648.780029296875,1067974,351.70001220703125,352.29998779296875,350.4601135253906,351.8999938964844,1048665,67.36009979248047,67.625,67.29499816894531,67.53500366210938,5392588,250.24000549316406,250.25,249.06500244140625,249.58999633789062,2877409
2026-07-20 20:30:00+01:00,329.010009765625,329.760009765625,326.32000732421875,326.70001220703125,5528498,648.8699951171875,651.0349731445312,645.260009765625,645.8599853515625,1054206,351.95001220703125,352.8800048828125,351.1000061035156,351.510009765625,1333259,67.53500366210938,67.80000305175781,67.50499725341797,67.57499694824219,7434109,249.60000610351562,250.15499877929688,249.11000061035156,250.09500122070312,3648482
2026-07-21 14:30:00+01:00,323.3450012207031,327.0299987792969,322.22039794921875,326.739990234375,9697821,654.1300048828125,655.8800048828125,643.2000122070312,646.7999877929688,1739674,350.55999755859375,350.67999267578125,346.88189697265625,348.8099060058594,2876032,67.4800033569336,68.0999984741211,67.16999816894531,67.69000244140625,9594787,249.1219940185547,249.33999633789062,246.72000122070312,247.4600067138672,5453211
