Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12 14:30:00+01:00,572.9500122070312,576.0700073242188,560.9000244140625,565.9550170898438,2901666,243.2100067138672,243.3300018310547,233.58999633789062,236.53250122070312,14937313,296.0799865722656,297.1400146484375,290.6099853515625,291.9949951171875,9097938,361.1000061035156,362.6449890136719,353.3399963378906,360.1050109863281,4020001,81.68000030517578,82.0,79.27999877929688,79.81999969482422,8778650
2026-06-12 15:30:00+01:00,565.739990234375,574.6099853515625,563.1199951171875,572.1199951171875,2030421,236.52000427246094,238.5,234.92999267578125,237.85000610351562,7565084,291.9800109863281,292.989990234375,290.010009765625,292.875,4537684,360.05999755859375,364.7724914550781,357.55999755859375,363.6600036621094,2452102,79.81999969482422,80.69499969482422,79.58000183105469,80.5999984741211,4271021
2026-06-12 16:30:00+01:00,572.0,572.39990234375,567.989990234375,571.280029296875,1180981,237.8000030517578,237.8101043701172,235.5749969482422,236.47999572753906,5470650,292.8599853515625,292.8599853515625,290.80999755859375,291.5799865722656,3654099,363.6099853515625,363.739990234375,358.3800048828125,359.5950012207031,1652513,80.60749816894531,80.83000183105469,80.19999694824219,80.70999908447266,3422335
2026-06-12 17:30:00+01:00,571.2949829101562,572.7849731445312,567.3499755859375,567.6799926757812,1501377,236.47000122070312,237.63999938964844,235.89999389648438,237.02000427246094,4730025,291.57000732421875,292.2449951171875,290.75,291.4601135253906,3070602,359.6300048828125,362.0,359.1199951171875,360.8599853515625,1051819,80.72000122070312,81.13999938964844,80.6500015258789,80.8550033569336,2190043
2026-06-12 18:30:00+01:00,567.75,567.780029296875,564.830078125,565.37548828125,1047464,237.02200317382812,237.07000732421875,236.02000427246094,236.39999389648438,2416083,291.4800109863281,291.510009765625,289.6199951171875,290.2250061035156,3083422,360.9200134277344,360.9717102050781,358.82000732421875,359.239990234375,1127247,80.86000061035156,80.87000274658203,80.5999984741211,80.66500091552734,1636206
2026-06-12 19:30:00+01:00,565.39501953125,567.5399780273438,565.39501953125,566.6199951171875,1165996,236.39500427246094,238.1699981689453,236.39500427246094,237.8699951171875,3630462,290.2200012207031,290.9700012207031,290.2200012207031,290.6400146484375,3042374,359.2200012207031,360.0400085449219,357.9100036621094,358.739990234375,1626947,80.66999816894531,80.87000274658203,80.42500305175781,80.5250015258789,3102066
2026-06-12 20:30:00+01:00,566.7050170898438,567.8681030273438,563.0,566.7000122070312,2129531,237.83999633789062,238.60000610351562,237.30999755859375,238.52999877929688,4027217,290.6400146484375,291.6400146484375,290.19000244140625,291.0799865722656,4023717,358.739990234375,358.82000732421875,356.8999938964844,358.07000732421875,1389000,80.52999877929688,80.55509948730469,80.2699966430664,80.33499908447266,4508035
2026-06-15 14:30:00+01:00,579.9000244140625,593.7100219726562,579.2974853515625,590.3400268554688,4898957,245.16400146484375,247.80499267578125,244.72999572753906,246.1199951171875,12330178,294.1199951171875,296.32861328125,291.70001220703125,295.67999267578125,9626670,365.7650146484375,370.2049865722656,364.6499938964844,366.9999084472656,3945692,80.61499786376953,81.68000030517578,80.47000122070312,80.68499755859375,9707659
