Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24 14:30:00+01:00,340.5199890136719,346.0199890136719,339.6199951171875,345.3949890136719,3382865,79.94000244140625,80.38999938964844,79.02010345458984,80.30999755859375,4671581,259.5199890136719,263.0899963378906,259.04998779296875,261.4100036621094,8452007,311.4700012207031,313.19989013671875,309.9700012207031,312.94000244140625,6606461,550.2000122070312,554.2797241210938,546.2999877929688,551.8699951171875,2648132
2026-08-24 15:30:00+01:00,345.3999938964844,347.55999755859375,344.8800048828125,347.4100036621094,1627682,80.30000305175781,80.33000183105469,79.75,80.19000244140625,2047245,261.42498779296875,262.8299865722656,261.239990234375,262.6600036621094,2893260,312.92999267578125,313.3299865722656,311.5299987792969,312.239990234375,4358724,551.719970703125,556.5399780273438,549.6599731445312,556.0900268554688,1424914
2026-08-24 16:30:00+01:00,347.3800048828125,348.0799865722656,347.0199890136719,347.57000732421875,1163870,80.18000030517578,80.30000305175781,80.0,80.2300033569336,1800284,262.6400146484375,263.32000732421875,262.1700134277344,262.7449951171875,2480057,312.239990234375,312.3900146484375,311.3399963378906,311.9285888671875,1959853,556.1649780273438,557.5,554.719970703125,555.4591064453125,1305068
2026-08-24 17:30:00+01:00,347.5000915527344,347.8500061035156,345.7250061035156,345.8500061035156,971630,80.2300033569336,80.55999755859375,80.13999938964844,80.47000122070312,1656154,262.760009765625,263.2900085449219,261.8429870605469,261.8999938964844,1894391,311.9100036621094,313.3599853515625,311.8599853515625,312.1199035644531,2194290,555.4149780273438,558.989990234375,554.7005004882812,557.719970703125,1268616
2026-08-24 18:30:00+01:00,345.8599853515625,346.0,344.9100036621094,345.6099853515625,1124298,80.46990203857422,80.62000274658203,80.43000030517578,80.5199966430664,2140401,261.8900146484375,263.0400085449219,261.5,262.7900085449219,1795904,312.1189880371094,312.3500061035156,311.5,311.739990234375,1968689,557.6699829101562,560.9000244140625,556.0,560.1849975585938,1272370
2026-08-24 19:30:00+01:00,345.6400146484375,345.7900085449219,344.6400146484375,345.5150146484375,824447,80.52999877929688,80.54000091552734,80.19000244140625,80.33499908447266,1918119,262.8299865722656,263.0,261.6499938964844,262.07000732421875,1938711,311.7200012207031,311.8399963378906,310.7200012207031,311.25,2188744,560.25,560.9500122070312,558.7899780273438,559.6699829101562,1270381
2026-08-24 20:30:00+01:00,345.5400085449219,345.7900085449219,344.1499938964844,344.6000061035156,1542201,80.33999633789062,80.48989868164062,80.0,80.01000213623047,2886308,262.1000061035156,262.6099853515625,261.75,262.0303955078125,2448524,311.2300109863281,311.2799072265625,310.1719970703125,310.3500061035156,3344226,559.6950073242188,561.4199829101562,558.9901123046875,559.1400146484375,1795585
2026-08-25 14:30:00+01:00,345.6619873046875,346.70001220703125,342.9549865722656,343.2200012207031,2253465,79.6500015258789,81.62000274658203,79.4000015258789,81.56999969482422,5468321,262.6000061035156,263.87188720703125,260.2799987792969,260.9599914550781,5167079,310.93499755859375,313.5799865722656,309.6499938964844,310.0849914550781,5344241,563.75,568.6400146484375,562.2000122070312,563.0534057617188,2145708
