Ticker,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-03 14:30:00+00:00,656.0,659.3298950195312,647.2100219726562,648.506591796875,6069693,270.4200134277344,270.7799987792969,266.25,267.6300048828125,10223517,1133.0999755859375,1133.5,1098.949951171875,1099.6817626953125,989317,255.63999938964844,258.6000061035156,254.5574951171875,255.33999633789062,26213930,282.4700012207031,283.3500061035156,280.375,283.1099853515625,4971493
2025-11-03 15:30:00+00:00,648.5050048828125,652.5800170898438,646.0126953125,649.875,2263349,267.6400146484375,268.2799987792969,266.5,266.6400146484375,3102546,1099.532470703125,1103.48095703125,1079.3199462890625,1080.43994140625,785387,255.33999633789062,256.8599853515625,254.99000549316406,255.4600067138672,8062082,283.0799865722656,283.8800048828125,281.80999755859375,282.94000244140625,1577709
2025-11-03 16:30:00+00:00,649.8499755859375,653.0,649.27001953125,650.1699829101562,1443661,266.659912109375,268.1499938964844,266.5223083496094,267.5350036621094,2821699,1079.9599609375,1089.989990234375,1075.1500244140625,1089.8499755859375,595383,255.4550018310547,256.44000244140625,253.89999389648438,256.01031494140625,5726412,282.9700012207031,284.1000061035156,282.739990234375,282.8399963378906,1006362
2025-11-03 17:30:00+00:00,650.1699829101562,650.9299926757812,643.0,644.1400146484375,2972799,267.5199890136719,268.0,267.25,267.6780090332031,2034109,1089.7049560546875,1094.6700439453125,1088.6800537109375,1093.52001953125,310840,256.0262145996094,257.1700134277344,255.8135986328125,256.510009765625,4362482,282.75,283.67999267578125,282.3450012207031,282.7099914550781,897827
2025-11-03 18:30:00+00:00,644.0501098632812,646.0,641.5599975585938,644.4600219726562,2232166,267.70989990234375,268.6199951171875,267.30999755859375,267.30999755859375,2075268,1093.8099365234375,1096.8399658203125,1092.508056640625,1095.800048828125,261430,256.510009765625,256.5849914550781,254.72000122070312,255.06500244140625,3903743,282.7049865722656,283.875,282.56500244140625,283.29998779296875,1014491
2025-11-03 19:30:00+00:00,644.4600219726562,646.280029296875,641.7700805664062,642.3699951171875,1730255,267.32000732421875,267.7900085449219,266.9100036621094,267.6199951171875,2243434,1095.52001953125,1099.699951171875,1092.6600341796875,1099.25,238988,255.06500244140625,256.0299987792969,254.07000732421875,254.8699951171875,4161677,283.29998779296875,285.94000244140625,283.2900085449219,285.1099853515625,1353842
2025-11-03 20:30:00+00:00,642.3699951171875,642.760009765625,636.2100219726562,637.719970703125,2642789,267.6300048828125,269.1099853515625,267.4599914550781,269.05999755859375,3383138,1099.239990234375,1100.300048828125,1096.074951171875,1099.5699462890625,281103,254.8699951171875,255.27999877929688,252.89999389648438,254.05999755859375,4190135,285.1400146484375,285.1679992675781,283.6499938964844,284.25,1168232
2025-11-04 14:30:00+00:00,628.0399780273438,641.7399291992188,626.469970703125,635.3557739257812,5424088,268.24249267578125,269.5899963378906,267.614990234375,268.42999267578125,9645778,1099.2850341796875,1104.599853515625,1089.219970703125,1098.31396484375,626099,250.3800048828125,255.44000244140625,249.6501007080078,253.38999938964844,10799520,277.07000732421875,281.07501220703125,276.875,280.2699890136719,3778209
