Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27 13:30:00+00:00,749.5700073242188,755.739990234375,748.530029296875,753.2777709960938,2857490,265.364990234375,267.3399963378906,264.94000244140625,265.6400146484375,5470537,264.8800048828125,267.04998779296875,264.65008544921875,265.7300109863281,9319511,1100.6700439453125,1100.6700439453125,1087.300048828125,1094.9599609375,1483810,227.80999755859375,228.39999389648438,226.52000427246094,227.35279846191406,9051670
2025-10-27 14:30:00+00:00,753.2800903320312,755.0,748.760009765625,750.4500122070312,1567034,265.6400146484375,267.1700134277344,265.0400085449219,267.07000732421875,2353304,265.739990234375,266.4200134277344,265.19500732421875,265.7099914550781,4050852,1094.56005859375,1102.2498779296875,1094.56005859375,1101.06494140625,673129,227.34500122070312,227.45140075683594,226.61070251464844,226.93350219726562,3629663
2025-10-27 15:30:00+00:00,750.5081787109375,752.969970703125,750.1199951171875,750.8099975585938,1039657,267.07000732421875,267.80499267578125,266.8299865722656,267.58740234375,2056353,265.7099914550781,266.0899963378906,265.04998779296875,265.92999267578125,3517895,1101.469970703125,1101.469970703125,1095.16015625,1097.9449462890625,365850,226.94000244140625,227.94000244140625,226.83999633789062,227.30999755859375,2823203
2025-10-27 16:30:00+00:00,750.7659301757812,751.0599975585938,748.1699829101562,748.655029296875,1215900,267.6300048828125,268.45989990234375,267.3301086425781,268.32000732421875,1714036,265.94000244140625,266.125,265.510009765625,265.6199951171875,3331147,1097.9449462890625,1101.8499755859375,1097.9449462890625,1099.9100341796875,307730,227.32000732421875,227.88999938964844,227.1699981689453,227.3800048828125,2630249
2025-10-27 17:30:00+00:00,748.77001953125,751.52001953125,748.010009765625,750.9000244140625,711462,268.3299865722656,269.7699890136719,268.260009765625,269.4599914550781,2143246,265.6300048828125,266.0150146484375,265.510009765625,265.5950012207031,2171755,1100.0,1101.4798583984375,1098.860107421875,1100.0,251481,227.38999938964844,227.96499633789062,227.3699951171875,227.82000732421875,2268413
2025-10-27 18:30:00+00:00,750.9199829101562,751.5999755859375,750.0,750.72998046875,695283,269.4849853515625,270.260009765625,268.6000061035156,268.8399963378906,2138145,265.5899963378906,267.3999938964844,265.4700012207031,267.2749938964844,4259189,1099.650146484375,1100.5799560546875,1097.02001953125,1097.4300537109375,359256,227.82000732421875,228.0,225.5399932861328,226.72999572753906,6571248
2025-10-27 19:30:00+00:00,750.6799926757812,754.3400268554688,750.4976806640625,750.9600219726562,1284375,268.8349914550781,270.70001220703125,268.6300048828125,269.8399963378906,2831943,267.2699890136719,269.0799865722656,267.2099914550781,268.739990234375,6996092,1097.18994140625,1097.3699951171875,1093.7000732421875,1094.300048828125,544448,226.73550415039062,227.52000427246094,226.5500030517578,226.97999572753906,4987011
2025-10-28 13:30:00+00:00,752.989990234375,758.3900146484375,747.0001220703125,747.3499755859375,3103414,269.989990234375,271.3800048828125,267.5299987792969,268.0199890136719,5376066,269.135009765625,269.8699951171875,268.25,268.6499938964844,11832766,1094.02001953125,1116.9798583984375,1093.00830078125,1109.0301513671875,1299551,228.22000122070312,228.58999633789062,226.2100067138672,226.52000427246094,10054295
