Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20 14:30:00+01:00,249.3800048828125,250.13999938964844,246.75,247.1699981689453,9547325,681.4500122070312,683.3300170898438,672.0499877929688,676.0823974609375,3334997,338.94000244140625,339.1600036621094,335.4599914550781,337.6600036621094,3422391,270.3299865722656,274.2749938964844,270.3299865722656,273.3800048828125,9800654,97.1449966430664,97.5999984741211,95.5,95.52200317382812,13544324
2026-04-20 15:30:00+01:00,247.16000366210938,247.32000732421875,245.36500549316406,247.02000427246094,5448975,676.0150146484375,676.7000122070312,668.0,673.5700073242188,2160361,337.6460876464844,337.739990234375,334.6300048828125,336.8800048828125,1699272,273.389892578125,273.8500061035156,271.7200012207031,272.8800048828125,4154551,95.5250015258789,95.71759796142578,93.6500015258789,93.875,12614245
2026-04-20 16:30:00+01:00,247.00999450683594,247.0500030517578,246.14010620117188,246.77000427246094,3205410,673.3400268554688,674.719970703125,671.7999877929688,672.8250122070312,1400963,336.739990234375,337.1199951171875,335.8800048828125,336.5799865722656,777072,272.8299865722656,272.9100036621094,272.0799865722656,272.57000732421875,2499488,93.87000274658203,94.29000091552734,93.66999816894531,93.86000061035156,8632256
2026-04-20 17:30:00+01:00,246.77000427246094,247.72000122070312,246.75999450683594,247.61000061035156,2487380,672.9099731445312,673.5999145507812,671.22998046875,672.6500244140625,660669,336.5799865722656,337.2300109863281,336.1600036621094,336.2099914550781,1284875,272.5899963378906,273.135009765625,271.8399963378906,272.19000244140625,2403500,93.86000061035156,94.75,93.54000091552734,94.67990112304688,6979195
2026-04-20 18:30:00+01:00,247.6002960205078,248.10000610351562,247.17999267578125,247.80499267578125,2681049,672.7150268554688,673.1400146484375,670.9149780273438,672.64501953125,766075,336.239990234375,336.80999755859375,336.0199890136719,336.2900085449219,643222,272.1700134277344,273.6400146484375,271.9800109863281,273.45001220703125,2711593,94.67500305175781,94.68000030517578,94.19999694824219,94.26000213623047,4202375
2026-04-20 19:30:00+01:00,247.80499267578125,248.5,247.6649932861328,248.13999938964844,3096367,672.739990234375,672.9600219726562,669.7999877929688,670.70751953125,842036,336.30999755859375,336.7200012207031,336.1001892089844,336.30999755859375,618996,273.4599914550781,273.4599914550781,272.6700134277344,272.69000244140625,2176297,94.26499938964844,94.87000274658203,94.19999694824219,94.80899810791016,4962797
2026-04-20 20:30:00+01:00,248.16000366210938,248.64999389648438,247.39999389648438,248.2899932861328,4859780,670.75,672.1300048828125,669.4600219726562,670.9500122070312,1258552,336.30499267578125,336.4119873046875,334.87359619140625,335.4100036621094,1122731,272.6499938964844,273.1600036621094,272.2699890136719,272.92999267578125,3689439,94.80000305175781,95.0999984741211,94.66999816894531,94.80999755859375,6184971
2026-04-21 14:30:00+01:00,254.72000122070312,255.0,251.55999755859375,252.69000244140625,12693800,670.8900146484375,676.2000122070312,667.75,674.6754760742188,1753065,335.5799865722656,337.1700134277344,333.760009765625,336.53509521484375,2169053,271.44500732421875,272.79998779296875,269.3699951171875,269.5801086425781,8494357,93.82499694824219,94.6500015258789,93.45999908447266,93.56500244140625,13867530
