Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08 14:30:00+01:00,81.54199981689453,83.07980346679688,81.33999633789062,82.7249984741211,7071928,362.4849853515625,363.3800048828125,357.8900146484375,359.239990234375,5705168,246.61000061035156,249.4199981689453,246.12010192871094,246.8101043701172,7851941,590.22998046875,591.9199829101562,579.219970703125,588.2349853515625,4385600,308.739013671875,315.1700134277344,308.5220031738281,311.9750061035156,10861725
2026-06-08 15:30:00+01:00,82.7249984741211,82.83000183105469,82.05000305175781,82.2699966430664,4299802,359.20001220703125,361.9700012207031,358.239990234375,360.4700012207031,2189066,246.7949981689453,247.71499633789062,246.25999450683594,246.44000244140625,3579828,588.405029296875,591.8200073242188,586.7000122070312,587.6500244140625,1649564,311.9599914550781,315.3599853515625,311.7799987792969,313.92999267578125,5519448
2026-06-08 16:30:00+01:00,82.26499938964844,82.49500274658203,82.11000061035156,82.11499786376953,2448513,360.5199890136719,360.635009765625,358.6499938964844,359.1400146484375,1645552,246.4600067138672,246.98989868164062,245.57200622558594,246.4600067138672,3197678,587.64501953125,589.35498046875,586.52001953125,587.9400024414062,1321450,313.92999267578125,314.989990234375,313.32000732421875,313.6650085449219,4972235
2026-06-08 17:30:00+01:00,82.12000274658203,82.2699966430664,81.97000122070312,82.1500015258789,2214749,359.19000244140625,361.7900085449219,358.3399963378906,361.4949951171875,1433426,246.47999572753906,246.59950256347656,244.88999938964844,245.8000030517578,2690649,588.1046752929688,588.7199096679688,584.8300170898438,588.260009765625,997779,313.67999267578125,314.69000244140625,312.2099914550781,314.57000732421875,5529465
2026-06-08 18:30:00+01:00,82.1500015258789,82.76000213623047,81.9800033569336,82.63999938964844,2595091,361.4599914550781,362.3599853515625,360.7699890136719,361.82000732421875,1466640,245.7899932861328,245.8800048828125,243.39500427246094,244.27000427246094,3488108,588.0999755859375,588.8800048828125,585.9000244140625,588.5549926757812,876445,314.56500244140625,317.3999938964844,303.7099914550781,304.8599853515625,19927828
2026-06-08 19:30:00+01:00,82.63500213623047,82.87000274658203,82.36000061035156,82.54499816894531,3977605,361.82000732421875,362.3999938964844,359.6499938964844,360.4200134277344,1170447,244.27000427246094,244.85000610351562,243.654296875,244.72000122070312,2984173,588.510009765625,588.9400024414062,585.22998046875,587.7449951171875,1066785,304.8999938964844,305.5299987792969,302.05010986328125,302.7049865722656,9894127
2026-06-08 20:30:00+01:00,82.55000305175781,82.8949966430664,82.5,82.62999725341797,3857761,360.45001220703125,361.5799865722656,359.82000732421875,361.1499938964844,1755355,244.72000122070312,245.60000610351562,244.61000061035156,245.2100067138672,3459574,587.8099975585938,590.0,584.85498046875,585.3350219726562,1364262,302.7099914550781,303.2445068359375,301.1700134277344,301.57000732421875,7298835
2026-06-09 14:30:00+01:00,82.03199768066406,82.32499694824219,81.62999725341797,81.91000366210938,5929206,365.0,369.69219970703125,363.6700134277344,365.54998779296875,3562963,247.6999969482422,250.42999267578125,246.50999450683594,247.32000732421875,7702121,591.75,597.6300048828125,587.719970703125,594.5499877929688,2864887,300.2749938964844,300.7200012207031,292.2099914550781,292.5299987792969,15558354
