Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05 14:30:00+00:00,650.4099731445312,664.5399780273438,647.751220703125,662.4749755859375,2666779,90.91400146484375,92.30000305175781,90.87000274658203,91.8499984741211,7600219,228.86500549316406,233.55999755859375,227.17999267578125,233.22000122070312,10836743,270.7149963378906,271.3599853515625,267.8599853515625,269.80999755859375,7189336,317.7099914550781,319.25,315.6499938964844,317.92999267578125,3715257
2026-01-05 15:30:00+00:00,662.5150146484375,663.6300048828125,659.0700073242188,662.344970703125,1107833,91.86000061035156,92.19499969482422,91.18000030517578,92.0199966430664,4056385,233.22250366210938,233.39999389648438,231.35000610351562,232.25,4068426,269.79998779296875,270.2200012207031,268.70001220703125,268.7900085449219,3119976,317.9599914550781,318.1300048828125,316.69000244140625,317.19000244140625,1519630
2026-01-05 16:30:00+00:00,662.4299926757812,663.8800048828125,661.6300048828125,662.0599975585938,795162,92.0199966430664,92.625,91.95999908447266,92.0,3376782,232.25010681152344,233.85000610351562,232.11000061035156,233.19000244140625,3497782,268.7799987792969,268.8500061035156,266.9200134277344,266.9700012207031,3085098,317.17999267578125,317.6000061035156,315.2489929199219,315.55999755859375,1649636
2026-01-05 17:30:00+00:00,662.0499877929688,662.22998046875,659.5,660.9400024414062,576297,92.00299835205078,92.13999938964844,91.30000305175781,91.76499938964844,2279326,233.16000366210938,234.0,232.4499969482422,232.61000061035156,2572190,266.989990234375,267.8900146484375,266.7701110839844,267.4200134277344,2496455,315.5400085449219,317.8599853515625,315.45001220703125,317.5375061035156,1066655
2026-01-05 18:30:00+00:00,660.9000244140625,662.97998046875,660.4199829101562,662.0900268554688,578603,91.76499938964844,91.86000061035156,91.47000122070312,91.62000274658203,1909562,232.6300048828125,233.4499969482422,232.41000366210938,232.8450927734375,2120433,267.4100036621094,267.6650085449219,266.1400146484375,266.2698974609375,2514491,317.6199951171875,317.7799072265625,316.7101135253906,316.7101135253906,1011639
2026-01-05 19:30:00+00:00,662.1099853515625,662.1500244140625,659.4099731445312,660.530029296875,562456,91.61000061035156,91.76000213623047,91.37999725341797,91.66549682617188,1777495,232.80999755859375,233.11000061035156,232.37669372558594,232.64999389648438,1964635,266.2699890136719,267.0400085449219,266.20001220703125,267.0190124511719,2686552,316.70001220703125,316.8999938964844,316.0199890136719,316.25,1102827
2026-01-05 20:30:00+00:00,660.5,661.2598876953125,658.1099853515625,658.7999877929688,757521,91.66999816894531,91.7300033569336,91.34500122070312,91.45999908447266,2395586,232.63999938964844,233.1750030517578,232.27999877929688,233.0500030517578,2917600,267.0299987792969,267.739990234375,266.45001220703125,267.260009765625,2894622,316.2149963378906,317.4200134277344,316.19500732421875,317.3800048828125,1186809
2026-01-06 14:30:00+00:00,659.7999877929688,661.6699829101562,653.219970703125,658.0,1850755,91.54000091552734,91.58000183105469,89.83000183105469,90.2249984741211,8254912,232.1999969482422,237.42999267578125,232.1999969482422,237.3300018310547,6832898,267.00799560546875,267.00799560546875,263.0299987792969,264.0299987792969,8140729,317.30999755859375,321.55999755859375,314.44500732421875,314.9100036621094,2890980
