Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16 14:30:00+00:00,239.38499450683594,239.57000732421875,237.10000610351562,237.9199981689453,8735114,88.10639953613281,88.51000213623047,87.77999877929688,88.2500991821289,7072898,333.7619934082031,334.510009765625,329.8399963378906,329.9952087402344,4616237,258.20001220703125,258.8999938964844,256.4601135253906,256.80999755859375,11278805,624.1762084960938,629.0800170898438,621.25,624.3400268554688,3259271
2026-01-16 15:30:00+00:00,237.89999389648438,238.0399932861328,236.41000366210938,237.8175048828125,3696222,88.25,88.29000091552734,87.80999755859375,88.10549926757812,2346302,329.9800109863281,330.67999267578125,329.45001220703125,330.3500061035156,1341990,256.80999755859375,256.9200134277344,256.05999755859375,256.4399108886719,2790833,624.4299926757812,625.5999145507812,621.6500244140625,625.510009765625,760109
2026-01-16 16:30:00+00:00,237.80999755859375,238.3300018310547,237.32839965820312,237.67919921875,2006703,88.1050033569336,88.29889678955078,87.83000183105469,87.91999816894531,2595394,330.3500061035156,331.260009765625,330.0899963378906,330.2300109863281,859681,256.426513671875,256.6300048828125,255.82000732421875,255.8300018310547,2796717,625.5150146484375,625.75,622.6599731445312,623.9299926757812,2290497
2026-01-16 17:30:00+00:00,237.67999267578125,239.02999877929688,237.52000427246094,238.80499267578125,1691113,87.91999816894531,88.19499969482422,87.8499984741211,88.0155029296875,2373900,330.20001220703125,330.45001220703125,328.1700134277344,330.0199890136719,1197049,255.8300018310547,256.08990478515625,254.92999267578125,256.0299987792969,3606144,623.9299926757812,626.530029296875,623.260009765625,626.2349853515625,0
2026-01-16 18:30:00+00:00,238.8000030517578,238.91000366210938,237.4199981689453,237.64999389648438,1534493,88.01000213623047,88.16000366210938,87.81999969482422,87.86499786376953,2285801,330.0260009765625,330.1700134277344,329.05999755859375,329.8900146484375,804026,256.0299987792969,257.1499938964844,255.9149932861328,256.0,2811980,626.260009765625,627.5574951171875,622.830078125,623.2899780273438,746958
2026-01-16 19:30:00+00:00,237.63999938964844,238.39999389648438,237.63999938964844,238.22500610351562,1778073,87.86979675292969,88.05000305175781,87.81999969482422,87.99230194091797,2252576,329.8699951171875,330.6199951171875,329.73748779296875,330.1300048828125,738288,256.0,256.9700012207031,255.94000244140625,256.17999267578125,2648818,623.1699829101562,624.2000122070312,622.47998046875,622.9349975585938,1193623
2026-01-16 20:30:00+00:00,238.22000122070312,239.38999938964844,238.0,239.05999755859375,2413421,87.99500274658203,88.18000030517578,87.8949966430664,87.98999786376953,3097563,330.1099853515625,330.6700134277344,329.4700012207031,330.42999267578125,1322471,256.1700134277344,256.4725036621094,255.1300048828125,255.47999572753906,3511559,622.9099731445312,622.9099731445312,620.0900268554688,620.25,919678
2026-01-20 14:30:00+00:00,233.6649932861328,234.95199584960938,231.55999755859375,234.80690002441406,8569374,88.93000030517578,89.9000015258789,88.4800033569336,88.69000244140625,13831439,321.3999938964844,325.69000244140625,320.8900146484375,324.7900085449219,4146937,252.50999450683594,254.7899932861328,250.85000610351562,251.61570739746094,9087553,607.8800048828125,611.4000244140625,600.010009765625,611.3099975585938,2856628
