Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-27 14:30:00+01:00,235.6999969482422,235.8800048828125,233.22000122070312,233.47999572753906,6565341,70.58999633789062,70.80000305175781,69.86000061035156,70.41000366210938,6218866,607.219970703125,611.260009765625,600.1799926757812,605.3250122070312,2456826,334.8999938964844,338.1400146484375,334.0199890136719,337.69000244140625,11270804,324.739990234375,330.1014099121094,324.4700012207031,326.260009765625,6083540
2026-07-27 15:30:00+01:00,233.47999572753906,234.42999267578125,232.92999267578125,233.30499267578125,4794245,70.40499877929688,71.25,70.3949966430664,71.1500015258789,4512115,605.2000122070312,607.010009765625,598.97998046875,605.5349731445312,1599141,337.70001220703125,339.5,336.1199951171875,338.739990234375,7762742,326.3299865722656,329.69000244140625,324.5299987792969,328.2099914550781,3171003
2026-07-27 16:30:00+01:00,233.30999755859375,233.30999755859375,230.99000549316406,231.52999877929688,3656257,71.1500015258789,71.6500015258789,71.05999755859375,71.26499938964844,3736143,605.4299926757812,605.7000122070312,597.3905029296875,599.02001953125,1073446,338.7300109863281,339.57000732421875,336.75,337.4501037597656,6554357,328.1875,329.05999755859375,327.1400146484375,327.8699951171875,2002872
2026-07-27 17:30:00+01:00,231.52999877929688,232.19000244140625,231.3800048828125,231.70069885253906,2560976,71.26000213623047,71.37000274658203,70.8499984741211,70.9800033569336,3356148,599.02001953125,600.3699951171875,596.3250122070312,596.8499755859375,823646,337.4599914550781,338.1300048828125,335.67999267578125,336.04998779296875,3314628,327.79998779296875,328.2200012207031,325.8999938964844,326.6650085449219,1455661
2026-07-27 18:30:00+01:00,231.7100067138672,232.5128936767578,231.49000549316406,231.8800048828125,2212299,70.99500274658203,71.16000366210938,70.80999755859375,70.8550033569336,2407507,596.8200073242188,597.3499755859375,593.5050048828125,594.8499755859375,991497,336.07000732421875,336.79998779296875,335.04998779296875,335.1499938964844,3140907,326.6650085449219,326.80999755859375,325.69000244140625,326.135009765625,1048480
2026-07-27 19:30:00+01:00,231.86000061035156,232.98890686035156,231.75999450683594,232.25,2702443,70.86000061035156,70.97029876708984,70.27999877929688,70.31999969482422,3122105,594.8214721679688,598.0399780273438,593.8300170898438,595.7100219726562,844177,335.1499938964844,336.239990234375,334.70001220703125,335.7200012207031,3486673,326.1099853515625,327.81500244140625,325.6400146484375,327.44000244140625,1227261
2026-07-27 20:30:00+01:00,232.2449951171875,232.3350067138672,231.2100067138672,231.36000061035156,3391901,70.32499694824219,70.66590118408203,70.28500366210938,70.4000015258789,3955121,595.77001953125,596.5,593.1500244140625,593.9299926757812,1137412,335.7200012207031,337.2200012207031,335.6499938964844,336.9200134277344,3614510,327.44000244140625,327.8999938964844,326.3599853515625,326.6099853515625,1970704
2026-07-28 14:30:00+01:00,232.85000610351562,233.02000427246094,229.27000427246094,229.57000732421875,9046681,72.11000061035156,73.75499725341797,71.2300033569336,73.56999969482422,12781009,595.9000244140625,601.0,591.0,594.52001953125,2261115,340.0299987792969,342.8900146484375,335.6000061035156,337.9599914550781,13575047,327.79998779296875,330.1700134277344,324.5400085449219,327.6700134277344,4732808
