Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 14:30:00+00:00,248.30999755859375,251.75,247.99000549316406,248.02999877929688,7213922,285.2099914550781,290.42999267578125,283.5400085449219,288.7200012207031,4164797,268.95001220703125,273.7300109863281,268.95001220703125,271.85699462890625,7030981,1107.0999755859375,1128.18994140625,1104.113037109375,1124.7950439453125,720526,631.3900146484375,634.9600219726562,623.2999877929688,633.83740234375,3873187
2025-11-10 15:30:00+00:00,248.0211944580078,248.08999633789062,245.58999633789062,246.3800048828125,3238084,288.7049865722656,289.2698974609375,286.19000244140625,286.96551513671875,1570763,271.8299865722656,271.989990234375,269.04998779296875,269.06640625,3083676,1124.800048828125,1127.155029296875,1114.6300048828125,1116.6300048828125,257424,633.6300048828125,633.8800048828125,626.489990234375,630.4099731445312,1532229
2025-11-10 16:30:00+00:00,246.33999633789062,247.44500732421875,246.0,247.10499572753906,2393779,286.94500732421875,287.5799865722656,286.2001037597656,287.30999755859375,892605,269.0400085449219,269.7587890625,268.489990234375,269.0799865722656,2346213,1116.6300048828125,1122.25,1116.249755859375,1116.83984375,175811,630.4099731445312,634.4600219726562,630.2999877929688,633.864990234375,1088389
2025-11-10 17:30:00+00:00,247.10499572753906,248.89999389648438,247.0955047607422,248.6300048828125,1959822,287.3399963378906,289.3299865722656,287.260009765625,288.8399963378906,743976,269.07000732421875,270.2300109863281,269.010009765625,269.7300109863281,1807442,1116.6663818359375,1118.7271728515625,1114.3299560546875,1115.6300048828125,162437,633.9299926757812,635.0,632.3300170898438,632.8400268554688,879505
2025-11-10 18:30:00+00:00,248.6529998779297,248.95640563964844,248.47000122070312,248.7698974609375,1461943,288.8699951171875,291.42999267578125,288.8500061035156,291.1000061035156,1315791,269.7099914550781,270.3077087402344,267.4549865722656,269.6600036621094,3188667,1115.6500244140625,1118.1800537109375,1115.2900390625,1115.5999755859375,171050,632.8400268554688,634.6500244140625,632.010009765625,632.780029296875,781607
2025-11-10 19:30:00+00:00,248.7449951171875,248.83999633789062,248.1750030517578,248.27000427246094,1829109,291.0899963378906,291.4595031738281,290.4200134277344,290.55999755859375,1095959,269.6300048828125,269.80999755859375,269.04998779296875,269.11859130859375,2248210,1115.5400390625,1124.47998046875,1112.56005859375,1120.659912109375,256469,632.7650146484375,634.27001953125,631.989990234375,632.6320190429688,871980
2025-11-10 20:30:00+00:00,248.25999450683594,249.22999572753906,247.89999389648438,248.41000366210938,11095457,290.5400085449219,291.2388000488281,290.42999267578125,290.5899963378906,1716713,269.1000061035156,269.6000061035156,268.760009765625,269.3599853515625,2892894,1120.5,1123.9200439453125,1119.030029296875,1120.18994140625,308211,632.6699829101562,634.72998046875,631.260009765625,631.77001953125,1488867
2025-11-11 14:30:00+00:00,248.44500732421875,249.62989807128906,247.8300018310547,248.46780395507812,3730327,288.20001220703125,291.6940002441406,287.8800048828125,289.4599914550781,2757570,269.80999755859375,274.739990234375,269.79998779296875,274.1000061035156,9244708,1118.75,1135.6800537109375,1112.800048828125,1123.510009765625,559122,628.125,629.5599975585938,621.8101196289062,622.3699951171875,2509903
