Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-17 14:30:00+00:00,609.0349731445312,611.6900024414062,603.1400146484375,607.4000244140625,2585815,110.77999877929688,111.8499984741211,110.06999969482422,111.02999877929688,4796429,232.94500732421875,234.60000610351562,229.60000610351562,230.72500610351562,11162624,286.135009765625,294.5,285.6600036621094,290.8999938964844,9825496,268.7200012207031,270.489990234375,267.0,269.2799987792969,8509806
2025-11-17 15:30:00+00:00,607.3001098632812,608.4799194335938,603.6599731445312,606.2999877929688,1127617,111.02580261230469,111.37000274658203,109.62999725341797,110.37000274658203,2212014,230.6999969482422,232.5,229.19000244140625,232.4199981689453,6793002,290.8999938964844,291.5299987792969,287.42999267578125,288.45001220703125,2897454,269.2300109863281,269.3900146484375,266.6499938964844,267.8799133300781,3379761
2025-11-17 16:30:00+00:00,606.25,608.8200073242188,605.77001953125,606.8499755859375,848823,110.36990356445312,111.47000122070312,110.30999755859375,111.20999908447266,1724155,232.4499969482422,233.8249969482422,231.0,233.52000427246094,4128759,288.4704895019531,290.3599853515625,288.29998779296875,289.0118103027344,2043947,267.8500061035156,269.54998779296875,267.82000732421875,268.9200134277344,2089997
2025-11-17 17:30:00+00:00,606.7999877929688,607.3300170898438,602.8499755859375,604.4500122070312,1142893,111.2300033569336,111.28990173339844,110.4000015258789,110.5947036743164,997802,233.52439880371094,234.02999877929688,231.86000061035156,232.0,2375447,289.0799865722656,289.1600036621094,285.8800048828125,286.29998779296875,1735483,268.94000244140625,269.3500061035156,267.44000244140625,267.7799987792969,1923442
2025-11-17 18:30:00+00:00,604.5,606.4000244140625,599.0430297851562,600.1500244140625,1256188,110.58000183105469,110.80999755859375,109.69100189208984,109.85820007324219,1393752,231.99000549316406,232.77000427246094,230.5399932861328,231.39930725097656,2231460,286.2900085449219,287.4150085449219,284.78009033203125,285.6199035644531,1551909,267.7699890136719,268.3399963378906,266.8599853515625,267.2900085449219,2030991
2025-11-17 19:30:00+00:00,600.1649780273438,600.6099853515625,595.4000244140625,596.9487915039062,1772924,109.8550033569336,110.47000122070312,109.55000305175781,110.23500061035156,1543491,231.38999938964844,231.69000244140625,230.3800048828125,231.66000366210938,2412376,285.5950012207031,285.6400146484375,284.2300109863281,285.30999755859375,1789662,267.2950134277344,267.3800048828125,265.7300109863281,266.44000244140625,2737988
2025-11-17 20:30:00+00:00,597.0,602.0499877929688,596.27001953125,601.8400268554688,1550945,110.25,110.54900360107422,109.66999816894531,110.33000183105469,2103861,231.69000244140625,233.00999450683594,231.69000244140625,232.88999938964844,2731459,285.3399963378906,286.2200012207031,284.9599914550781,285.6000061035156,1769940,266.44000244140625,267.5799865722656,266.19000244140625,267.4599914550781,3487816
2025-11-18 14:30:00+00:00,591.5999755859375,597.6699829101562,583.780029296875,586.817626953125,5324154,110.29000091552734,112.9800033569336,109.19999694824219,111.8499984741211,6586155,228.1199951171875,230.1999969482422,222.60000610351562,225.52000427246094,13352762,288.3999938964844,288.9100036621094,280.07000732421875,282.3299865722656,5737756,269.9150085449219,270.7049865722656,265.32000732421875,267.6499938964844,8219985
