Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13 14:30:00+01:00,237.27000427246094,238.1999969482422,235.75,237.11000061035156,10365583,102.83999633789062,103.26000213623047,102.05999755859375,102.73500061035156,6224393,629.5,633.7000122070312,624.4000244140625,627.0,2529860,315.4800109863281,318.1390075683594,313.6900939941406,316.1499938964844,2369244,259.67999267578125,259.7799987792969,256.6600036621094,257.32000732421875,6263854
2026-04-13 15:30:00+01:00,237.125,238.16929626464844,236.3800048828125,237.85000610351562,5039926,102.73999786376953,103.0199966430664,102.56999969482422,102.80000305175781,2754435,626.969970703125,627.889892578125,625.1500244140625,625.9450073242188,1098144,316.1449890136719,317.19989013671875,316.0799865722656,316.95001220703125,980335,257.30999755859375,257.8800048828125,257.1000061035156,257.7099914550781,3495796
2026-04-13 16:30:00+01:00,237.86000061035156,239.32000732421875,237.3800048828125,238.88499450683594,5062947,102.80000305175781,103.55000305175781,102.80000305175781,103.50499725341797,2065479,625.72998046875,629.4600219726562,625.72998046875,629.2650146484375,772415,316.8800048828125,317.6449890136719,316.05999755859375,317.2200012207031,876678,257.7300109863281,257.875,256.7900085449219,257.7799987792969,3136398
2026-04-13 17:30:00+01:00,238.88499450683594,239.08999633789062,237.86000061035156,238.75,2919523,103.5,103.61509704589844,103.36499786376953,103.6050033569336,1792453,629.3179931640625,630.9600219726562,628.2901000976562,629.97998046875,690263,317.2149963378906,318.1099853515625,316.90008544921875,317.7200012207031,814411,257.79010009765625,258.3399963378906,257.5151062011719,257.864990234375,2360343
2026-04-13 18:30:00+01:00,238.7449951171875,239.22999572753906,238.4001007080078,238.72500610351562,2379978,103.61000061035156,103.66500091552734,103.2300033569336,103.30999755859375,1600762,630.0,631.719970703125,629.2000732421875,631.2650146484375,836731,317.69000244140625,317.8900146484375,317.1499938964844,317.385009765625,594395,257.8599853515625,258.20001220703125,257.5199890136719,257.8800048828125,2113453
2026-04-13 19:30:00+01:00,238.72000122070312,239.0850067138672,238.2100067138672,238.56500244140625,3870124,103.30500030517578,103.46990203857422,103.2699966430664,103.37000274658203,1631635,631.2650146484375,633.1259765625,631.2650146484375,632.25,914463,317.3349914550781,319.1099853515625,317.3349914550781,318.3529968261719,985366,257.864990234375,258.4800109863281,257.79998779296875,257.8500061035156,2513031
2026-04-13 20:30:00+01:00,238.52999877929688,240.0,238.47000122070312,239.86000061035156,5312101,103.37000274658203,103.53510284423828,102.87999725341797,103.16500091552734,3635245,632.25,635.0,631.8400268554688,634.52001953125,1027066,318.385009765625,319.42498779296875,318.04998779296875,319.2200012207031,1651969,257.8450012207031,259.5799865722656,257.5899963378906,259.2099914550781,5022608
2026-04-14 14:30:00+01:00,241.77999877929688,246.99000549316406,241.77999877929688,245.8000030517578,16655479,103.16500091552734,104.9000015258789,103.04000091552734,104.875,6678441,643.0120239257812,654.0800170898438,639.3704833984375,653.6456298828125,3981892,322.0849914550781,325.7850036621094,321.1499938964844,325.760009765625,4281244,259.1000061035156,261.92999267578125,259.0299987792969,259.3399963378906,8135429
