Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21 14:30:00+00:00,105.0,106.52999877929688,104.4000015258789,105.88999938964844,5084200,265.8800048828125,270.45001220703125,265.82000732421875,269.8500061035156,10658658,297.2900085449219,301.9200134277344,295.56280517578125,296.760009765625,9999227,216.3800048828125,217.91000366210938,215.27000427246094,216.26499938964844,11194304,588.5,596.0,584.9299926757812,585.1199951171875,3693066
2025-11-21 15:30:00+00:00,105.88999938964844,106.0,104.81999969482422,105.23999786376953,2461936,269.7900085449219,271.4700012207031,269.2200012207031,270.8999938964844,4761138,296.739990234375,301.8299865722656,294.3599853515625,300.3299865722656,4010585,216.27000427246094,218.61000061035156,215.25,218.5749969482422,6341071,585.1199951171875,587.9099731445312,581.8599853515625,587.74267578125,2007970
2025-11-21 16:30:00+00:00,105.23999786376953,105.54000091552734,104.95999908447266,105.22000122070312,2552825,270.8900146484375,271.1199951171875,269.80999755859375,270.54998779296875,2949033,300.3399963378906,300.375,295.6600036621094,296.489990234375,2730646,218.5749969482422,220.72300720214844,216.91000366210938,219.63999938964844,6048938,587.7999877929688,593.9093017578125,586.4130859375,592.97998046875,1489299
2025-11-21 17:30:00+00:00,105.20999908447266,105.69000244140625,104.80000305175781,104.94499969482422,1815537,270.6300048828125,271.6000061035156,270.20001220703125,270.9800109863281,2023820,296.5849914550781,298.17999267578125,295.8299865722656,297.2900085449219,1393147,219.75,220.0850067138672,218.00999450683594,218.7220001220703,3049149,593.0001220703125,595.0,589.0700073242188,591.625,1093645
2025-11-21 18:30:00+00:00,104.93000030517578,105.6500015258789,104.81999969482422,105.28600311279297,2501464,270.9800109863281,273.31500244140625,270.864990234375,272.6099853515625,3562846,297.260009765625,303.9599914550781,297.06500244140625,302.66009521484375,3613249,218.7100067138672,222.10000610351562,218.58999633789062,222.0500030517578,3506398,591.530029296875,598.1199951171875,591.1799926757812,597.548583984375,1107144
2025-11-21 19:30:00+00:00,105.27999877929688,105.45999908447266,104.79000091552734,104.92500305175781,2592012,272.57501220703125,273.2799987792969,271.3500061035156,271.3699951171875,3135966,302.6499938964844,302.9200134277344,299.94500732421875,299.94500732421875,2460119,222.07000732421875,222.20199584960938,220.17999267578125,220.18499755859375,3265276,597.5349731445312,597.739990234375,594.010009765625,594.0700073242188,1133638
2025-11-21 20:30:00+00:00,104.91999816894531,105.04000091552734,103.80999755859375,104.3499984741211,4721730,271.3500061035156,272.1300048828125,270.5899963378906,271.489990234375,18794685,299.92999267578125,301.44000244140625,298.80999755859375,299.6600036621094,3148283,220.13999938964844,221.32000732421875,219.88999938964844,220.64500427246094,4137911,594.0499877929688,596.0900268554688,593.260009765625,594.469970703125,1341529
2025-11-24 14:30:00+00:00,104.25,105.12999725341797,103.31999969482422,104.33499908447266,5611699,270.8999938964844,275.9200134277344,270.8999938964844,273.0950012207031,7995693,310.7850036621094,318.54998779296875,309.40008544921875,316.8794860839844,10624903,222.5800018310547,226.7899932861328,222.2899932861328,225.8699951171875,8170085,598.719970703125,611.8798828125,597.630126953125,611.3499755859375,4179737
