Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 14:30:00+00:00,,,,,,,,,,,,,,,,83.62000274658203,85.2699966430664,83.41000366210938,83.63999938964844,8583503,238.30999755859375,245.62989807128906,238.1699981689453,244.7550048828125,7384759
2026-02-02 15:30:00+00:00,,,,,,,,,,,,,,,,83.63999938964844,84.08999633789062,83.26000213623047,84.04499816894531,5532498,244.77000427246094,245.30999755859375,243.27999877929688,244.5399932861328,3027622
2026-02-02 16:30:00+00:00,,,,,,,,,,,,,,,,84.04499816894531,84.2750015258789,83.55999755859375,83.57969665527344,2114630,244.52999877929688,245.38999938964844,244.3800048828125,244.96029663085938,1974127
2026-02-02 17:30:00+00:00,,,,,,,,,,,,,,,,83.58000183105469,83.63999938964844,83.30999755859375,83.31670379638672,1697426,244.97500610351562,245.2050018310547,243.5399932861328,243.5850067138672,2067276
2026-02-02 18:30:00+00:00,343.8800048828125,344.9100036621094,343.7699890136719,344.0799865722656,594002.0,266.7900085449219,267.3500061035156,266.6199951171875,267.17999267578125,2059363.0,713.010009765625,715.594970703125,712.530029296875,712.739990234375,402851.0,83.31500244140625,83.38999938964844,82.87999725341797,82.91999816894531,2437895,243.57000732421875,244.22000122070312,243.4499969482422,243.52999877929688,2058962
2026-02-02 19:30:00+00:00,344.04998779296875,345.1650085449219,343.7250061035156,344.5150146484375,2024247.0,267.125,269.56988525390625,266.82000732421875,268.9800109863281,6110168.0,712.7849731445312,713.4899291992188,708.9299926757812,710.0399780273438,847458.0,82.9000015258789,83.19999694824219,82.7300033569336,83.13349914550781,2991802,243.52999877929688,243.9600067138672,242.69500732421875,242.9582061767578,2475474
2026-02-02 20:30:00+00:00,344.510009765625,345.0,344.0249938964844,344.8900146484375,6472834.0,268.9750061035156,270.489990234375,268.8399963378906,269.9599914550781,6031354.0,709.9500122070312,710.0750122070312,706.219970703125,706.4199829101562,1031896.0,83.13999938964844,83.16000366210938,82.7249984741211,82.73999786376953,2540156,242.9499969482422,243.3800048828125,242.55999755859375,242.9409942626953,2671065
2026-02-03 14:30:00+00:00,349.0,350.1499938964844,342.1000061035156,344.6083984375,4824954.0,269.1300048828125,271.5799865722656,267.69000244140625,269.885009765625,9032813.0,707.3699951171875,717.0,695.75,696.0,2460117.0,82.19000244140625,82.44999694824219,81.04000091552734,81.57499694824219,6458944,245.07000732421875,246.35000610351562,237.7100067138672,239.21499633789062,9718761
