Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03 14:30:00+01:00,72.83999633789062,73.94999694824219,72.62999725341797,72.66500091552734,6971313,279.125,287.1600036621094,278.85009765625,285.8399963378906,34485894,309.79998779296875,310.0299987792969,304.3399963378906,305.55010986328125,15181869,564.0499877929688,594.5999755859375,559.3599853515625,586.7949829101562,8750734,364.7200012207031,374.3399963378906,363.2799987792969,367.4200134277344,7844196
2026-08-03 15:30:00+01:00,72.66500091552734,73.17970275878906,72.18000030517578,73.0999984741211,4006943,285.739990234375,286.57000732421875,283.8500061035156,285.7699890136719,12434880,305.54998779296875,306.44000244140625,303.8999938964844,304.2149963378906,9512430,586.7899780273438,594.780029296875,582.6400146484375,594.239990234375,3485835,367.4599914550781,372.625,366.4104919433594,372.29058837890625,2940593
2026-08-03 16:30:00+01:00,73.1050033569336,73.2699966430664,72.69000244140625,72.87999725341797,2731045,285.7850036621094,286.40960693359375,284.0350036621094,284.5,8065237,304.2149963378906,306.3599853515625,302.55999755859375,306.3599853515625,8017561,594.1799926757812,596.9299926757812,591.5706176757812,595.594970703125,2314798,372.3399963378906,375.2699890136719,372.1600036621094,374.6099853515625,3164532
2026-08-03 17:30:00+01:00,72.88500213623047,72.98999786376953,72.77020263671875,72.97010040283203,2247688,284.5,285.5199890136719,283.6304016113281,284.67999267578125,4802454,306.3500061035156,307.5400085449219,305.8999938964844,307.2250061035156,6899047,595.6599731445312,597.52001953125,590.7999877929688,593.844970703125,1687341,374.614990234375,376.0899963378906,373.3399963378906,373.7401123046875,1857914
2026-08-03 18:30:00+01:00,72.97100067138672,73.05000305175781,72.6449966430664,72.67500305175781,2587029,284.6600036621094,284.67999267578125,282.4849853515625,282.9100036621094,5063978,307.2250061035156,307.2300109863281,305.5,305.5202941894531,4746952,593.8812866210938,593.8812866210938,589.02001953125,590.6798706054688,1450284,373.739990234375,374.1199951171875,372.4400939941406,372.57000732421875,1736149
2026-08-03 19:30:00+01:00,72.67500305175781,73.05500030517578,72.58999633789062,73.04499816894531,3257180,282.8999938964844,284.7099914550781,282.4165954589844,284.635009765625,6436563,305.5299987792969,305.9700012207031,304.79998779296875,305.0450134277344,5628929,590.5850219726562,594.2000122070312,589.719970703125,593.6849975585938,1454450,372.60400390625,374.4800109863281,372.4200134277344,373.1805114746094,1911034
2026-08-03 20:30:00+01:00,73.04000091552734,73.3499984741211,73.01000213623047,73.31999969482422,4174165,284.6499938964844,285.8999938964844,283.70001220703125,284.0199890136719,8040402,305.0450134277344,305.0799865722656,302.67999267578125,303.2699890136719,10186067,593.7000122070312,594.1699829101562,589.8499755859375,590.530029296875,2038723,373.1805114746094,373.57000732421875,371.9150085449219,372.4700012207031,3718109
2026-08-04 14:30:00+01:00,72.44999694824219,73.58499908447266,72.30000305175781,73.56999969482422,7263045,276.05999755859375,281.07000732421875,275.82000732421875,277.5899963378906,20241867,303.7900085449219,307.1400146484375,302.45001220703125,306.80999755859375,16371244,581.1649780273438,586.3699951171875,579.9500122070312,583.6599731445312,4047840,368.75,375.9200134277344,367.8900146484375,374.8572998046875,5251010
