Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08 14:30:00+00:00,669.6849975585938,676.7100219726562,665.635009765625,668.7734985351562,2929014,320.8800048828125,321.2300109863281,317.6600036621094,317.95001220703125,3758988,229.52000427246094,230.82400512695312,228.51199340820312,229.0399932861328,5237392,99.79000091552734,99.81999969482422,95.78500366210938,95.82530212402344,18330581,278.1684875488281,279.6693115234375,277.45001220703125,277.55999755859375,6285926
2025-12-08 15:30:00+00:00,668.7000122070312,670.77001953125,667.52001953125,669.8380126953125,1062264,317.8999938964844,317.8999938964844,315.6199951171875,315.869384765625,2078465,229.02999877929688,229.31350708007812,227.5500030517578,228.07000732421875,2886442,95.81999969482422,96.56999969482422,95.30000305175781,95.92500305175781,12653429,277.54998779296875,277.8800048828125,276.7049865722656,277.4599914550781,3326326
2025-12-08 16:30:00+00:00,669.8800048828125,670.9000244140625,668.0700073242188,669.4299926757812,690379,315.8200988769531,316.1600036621094,311.9100036621094,313.0199890136719,2665657,228.03900146484375,228.38999938964844,227.24000549316406,227.2799072265625,2070338,95.93000030517578,96.52999877929688,95.51000213623047,96.11199951171875,7657343,277.4700012207031,277.8190002441406,277.0000915527344,277.2300109863281,1896481
2025-12-08 17:30:00+00:00,669.4299926757812,670.2098999023438,667.6500244140625,667.8599853515625,569351,313.0436096191406,313.989990234375,312.19000244140625,312.8323974609375,1384447,227.27000427246094,227.77000427246094,227.02000427246094,227.0500030517578,2032964,96.12000274658203,96.23999786376953,95.55000305175781,95.66000366210938,5494339,277.2099914550781,277.84991455078125,276.8699951171875,276.9700012207031,1999024
2025-12-08 18:30:00+00:00,667.75,668.3599243164062,666.02001953125,666.4849853515625,542845,312.8599853515625,314.2698974609375,312.7049865722656,313.6099853515625,1098322,227.02000427246094,227.37399291992188,226.6999969482422,227.08999633789062,2086023,95.6500015258789,96.50499725341797,95.44999694824219,96.31500244140625,6449408,276.9494934082031,276.9494934082031,276.20001220703125,276.3599853515625,1825108
2025-12-08 19:30:00+00:00,666.489990234375,668.3400268554688,666.239990234375,668.2100219726562,483116,313.5950012207031,314.06500244140625,312.8399963378906,313.2699890136719,1012658,227.08999633789062,227.1887969970703,226.71499633789062,226.9741973876953,1794666,96.31500244140625,97.02999877929688,96.0199966430664,96.95999908447266,7141535,276.3699951171875,276.9700012207031,276.1499938964844,276.92498779296875,2861661
2025-12-08 20:30:00+00:00,668.2449951171875,668.3499755859375,666.3699951171875,667.030029296875,827687,313.2650146484375,314.57000732421875,312.6400146484375,314.2900085449219,6086234,226.97999572753906,227.1300048828125,226.27000427246094,226.99000549316406,3015249,96.95999908447266,97.04000091552734,96.23999786376953,96.83999633789062,5815091,276.92999267578125,277.9849853515625,276.6600036621094,277.9599914550781,2613900
2025-12-09 14:30:00+00:00,666.7999877929688,666.7999877929688,653.3400268554688,656.719970703125,2277901,314.45001220703125,314.5715026855469,312.6199951171875,314.1424865722656,2063287,226.88999938964844,227.75,225.11000061035156,227.66000366210938,3766539,96.79000091552734,97.11000061035156,96.2300033569336,96.6449966430664,7862597,277.8900146484375,280.0299987792969,277.3500061035156,277.70001220703125,5341504
