Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23 13:30:00+00:00,209.77999877929688,212.8000030517578,209.50999450683594,212.10000610351562,13416598,91.98999786376953,93.2300033569336,91.86000061035156,92.7699966430664,8628798,253.99000549316406,254.55999755859375,251.02000427246094,252.4398956298828,9464664,605.7869873046875,606.3900146484375,599.010009765625,605.469970703125,4090649,300.5299987792969,303.3699951171875,300.42999267578125,302.4849853515625,5300346
2026-03-23 14:30:00+00:00,212.07000732421875,212.6999969482422,211.36000061035156,212.0,5158333,92.7699966430664,93.43000030517578,92.69499969482422,93.21499633789062,3240046,252.4199981689453,252.9199981689453,251.52999877929688,252.57989501953125,3394637,605.489990234375,608.6400146484375,603.06201171875,607.91357421875,1512065,302.385009765625,302.4700012207031,300.3599853515625,301.3699951171875,3128636
2026-03-23 15:30:00+00:00,212.02000427246094,212.25999450683594,210.19000244140625,210.2899932861328,4920069,93.22000122070312,93.5250015258789,92.69180297851562,92.94999694824219,3021503,252.58999633789062,252.90499877929688,250.6750030517578,250.80499267578125,4431092,607.9099731445312,608.3499145507812,600.8001098632812,601.0599975585938,1474947,301.4599914550781,301.5199890136719,298.04998779296875,298.1099853515625,3835025
2026-03-23 16:30:00+00:00,210.27999877929688,211.4499969482422,210.27999877929688,210.52999877929688,2982273,92.94999694824219,93.42500305175781,92.92500305175781,93.04000091552734,2672227,250.80999755859375,251.75,250.27999877929688,250.9199981689453,2569031,600.9099731445312,603.5,600.260009765625,601.9650268554688,667464,298.19000244140625,299.20001220703125,298.0299987792969,298.510009765625,1435303
2026-03-23 17:30:00+00:00,210.52000427246094,211.5399932861328,210.5,210.69500732421875,2912920,93.04000091552734,93.83499908447266,93.0199966430664,93.69000244140625,3752034,250.9550018310547,251.98500061035156,250.89999389648438,251.3300018310547,2523158,601.9500122070312,604.47998046875,601.6599731445312,602.9849853515625,788374,298.5299987792969,299.4599914550781,298.28509521484375,299.1199951171875,1542196
2026-03-23 18:30:00+00:00,210.72000122070312,211.41000366210938,210.5800018310547,210.64999389648438,3477266,93.69499969482422,93.9800033569336,93.4800033569336,93.5999984741211,3582075,251.3699951171875,252.4149932861328,251.3699951171875,251.76499938964844,2979367,603.0,607.869873046875,602.9299926757812,606.7850952148438,1218293,299.1499938964844,300.3500061035156,299.1499938964844,299.7099914550781,1671608
2026-03-23 19:30:00+00:00,210.64500427246094,211.27000427246094,210.00999450683594,210.11000061035156,4545733,93.5999984741211,93.83499908447266,93.36000061035156,93.38999938964844,3361877,251.76499938964844,252.52499389648438,250.97000122070312,251.44000244140625,4373303,606.72998046875,607.5,602.8809814453125,603.9400024414062,1483455,299.7181091308594,300.3399963378906,298.8599853515625,298.9700012207031,1960628
2026-03-24 13:30:00+00:00,207.88499450683594,209.35000610351562,206.63999938964844,207.72000122070312,6633732,92.79000091552734,93.73979949951172,92.31999969482422,92.69270324707031,4708854,250.49000549316406,253.1199951171875,249.5500030517578,252.47000122070312,5324672,599.0999755859375,601.0,592.0399780273438,593.760009765625,2033460,296.2099914550781,297.0899963378906,292.9599914550781,293.0400085449219,4131600
