Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 13:30:00+00:00,632.0,634.739990234375,625.7999877929688,632.1500244140625,5389646,208.35000610351562,210.13999938964844,207.44500732421875,209.59500122070312,5951335,95.58000183105469,96.0999984741211,94.36000061035156,95.58999633789062,4718644,252.10499572753906,253.58999633789062,249.91000366210938,253.2357940673828,4604631,303.5,305.57000732421875,302.4849853515625,304.310302734375,2549254
2026-03-16 14:30:00+00:00,632.0900268554688,632.0900268554688,627.0900268554688,629.1799926757812,0,209.61000061035156,209.61000061035156,208.36000061035156,209.3699951171875,2934524,95.59500122070312,95.71499633789062,95.0999984741211,95.1449966430664,2190963,253.22000122070312,253.88499450683594,252.9199981689453,253.01499938964844,2784630,304.3349914550781,304.3399963378906,302.20001220703125,302.9798889160156,1156989
2026-03-16 15:30:00+00:00,629.1500244140625,630.0,623.1004028320312,623.719970703125,968008,209.36000061035156,209.66000366210938,208.62989807128906,208.8415985107422,2005757,95.13999938964844,95.41999816894531,94.87999725341797,94.9458999633789,1796169,253.00999450683594,253.5399932861328,252.20010375976562,252.36500549316406,1738509,303.1099853515625,303.3475036621094,301.80999755859375,302.0,739732
2026-03-16 16:30:00+00:00,623.7849731445312,627.030029296875,623.3049926757812,625.5,3916268,208.86000061035156,210.1300048828125,208.63999938964844,209.88999938964844,2378548,94.94499969482422,95.2300033569336,94.7699966430664,94.98600006103516,2621491,252.35000610351562,253.3300018310547,252.1999969482422,252.92999267578125,1437485,302.0199890136719,303.67999267578125,301.8900146484375,303.32000732421875,768318
2026-03-16 17:30:00+00:00,625.52001953125,626.8699951171875,623.4000244140625,626.864990234375,0,209.89999389648438,211.21499633789062,209.6699981689453,211.00399780273438,2256442,94.9800033569336,95.23999786376953,94.86000061035156,95.05000305175781,1451349,252.94000244140625,253.05999755859375,252.1300048828125,252.9199981689453,1544256,303.3450012207031,303.9599914550781,303.03948974609375,303.70001220703125,656468
2026-03-16 18:30:00+00:00,626.8499755859375,628.639892578125,625.6900024414062,627.5150146484375,4982823,211.0,212.7239990234375,210.9199981689453,212.3800048828125,3948226,95.04000091552734,95.38999938964844,94.9749984741211,95.37000274658203,1786423,252.9219970703125,253.44000244140625,252.27000427246094,252.86199951171875,1954982,303.67498779296875,305.0299987792969,303.614990234375,304.94000244140625,995230
2026-03-16 19:30:00+00:00,627.4299926757812,628.2100219726562,626.655029296875,627.6300048828125,0,212.35000610351562,212.4499969482422,211.10000610351562,211.75999450683594,15202768,95.375,95.46499633789062,95.13500213623047,95.19999694824219,2464203,252.83999633789062,253.05999755859375,252.11000061035156,252.77999877929688,2287594,304.8949890136719,305.05999755859375,303.8999938964844,304.42999267578125,4746102
2026-03-17 13:30:00+00:00,628.530029296875,636.5499877929688,628.0,630.0549926757812,1794589,212.88499450683594,214.8350067138672,212.42999267578125,213.68499755859375,5682256,95.30000305175781,96.33999633789062,94.95999908447266,95.65499877929688,3647143,253.07850646972656,255.0749969482422,252.17999267578125,254.44000244140625,3494086,304.6499938964844,306.3999938964844,304.3699951171875,305.93499755859375,1699887
