Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06 14:30:00+01:00,358.19500732421875,360.4100036621094,354.1994934082031,357.875,3474542,594.8400268554688,597.6799926757812,581.760009765625,587.3900146484375,3807410,77.07499694824219,77.83999633789062,75.75,76.0010986328125,8707594,307.67999267578125,311.75,307.010009765625,311.7300109863281,10212875,243.7949981689453,245.50999450683594,240.8800048828125,243.08999633789062,7183355
2026-07-06 15:30:00+01:00,357.875,360.1199951171875,357.6199951171875,359.739990234375,2117311,587.2650146484375,591.89501953125,586.489990234375,591.6199951171875,1366009,75.98999786376953,76.72000122070312,75.98989868164062,76.38990020751953,7022368,311.70001220703125,313.6000061035156,311.2101135253906,313.5799865722656,6250328,243.1300048828125,244.88999938964844,242.44000244140625,244.75,4029564
2026-07-06 16:30:00+01:00,359.7900085449219,362.5,359.6099853515625,361.04998779296875,1768840,591.8499755859375,598.2000122070312,590.7999877929688,592.4400024414062,1464445,76.37999725341797,76.47000122070312,76.22000122070312,76.2699966430664,2730007,313.5849914550781,314.20001220703125,312.2300109863281,312.25,4817415,244.71929931640625,246.0399932861328,244.47000122070312,244.82000732421875,4192304
2026-07-06 17:30:00+01:00,361.0350036621094,362.2799987792969,360.9599914550781,362.09588623046875,1365477,592.469970703125,595.1099853515625,591.6199951171875,594.6400146484375,887995,76.26000213623047,76.45999908447266,76.19000244140625,76.32499694824219,2466477,312.2449951171875,312.9800109863281,311.8500061035156,312.3800048828125,6272773,244.8101043701172,245.42999267578125,244.4499969482422,245.4149932861328,3092756
2026-07-06 18:30:00+01:00,362.1199951171875,362.6495056152344,361.010009765625,361.9700012207031,1846029,594.6699829101562,601.8300170898438,592.5399780273438,599.9199829101562,1601017,76.33000183105469,76.41000366210938,75.86499786376953,75.86499786376953,3075017,312.3876037597656,313.14990234375,312.1099853515625,313.07000732421875,2501244,245.38999938964844,245.6999969482422,244.35000610351562,245.1699981689453,2480993
2026-07-06 19:30:00+01:00,361.95001220703125,365.2300109863281,361.95001220703125,365.16009521484375,2603376,600.0,602.47998046875,599.0,600.4190063476562,1846146,75.86499786376953,76.0198974609375,75.82499694824219,75.93199920654297,2956283,313.0799865722656,313.55999755859375,312.9100036621094,313.3999938964844,3451883,245.14999389648438,245.85000610351562,245.11500549316406,245.5050048828125,2633413
2026-07-06 20:30:00+01:00,365.17498779296875,365.67999267578125,363.9200134277344,364.75,3144996,600.4099731445312,603.5800170898438,599.6500244140625,600.27001953125,1964635,75.93000030517578,76.08000183105469,75.70999908447266,76.05000305175781,5241977,313.4150085449219,313.739990234375,312.04998779296875,312.80999755859375,4988391,245.49000549316406,245.83990478515625,243.9600067138672,244.22999572753906,4441421
2026-07-07 14:30:00+01:00,367.3699951171875,370.8900146484375,364.7900085449219,368.4549865722656,4165682,608.0,615.9899291992188,604.1500244140625,611.0872802734375,4612423,77.87999725341797,78.18000030517578,76.55999755859375,77.18499755859375,7992207,315.2900085449219,315.4800109863281,310.1499938964844,311.45001220703125,8945230,247.32000732421875,248.9149932861328,244.6699981689453,245.11500549316406,10689886
