Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-14 14:30:00+01:00,339.1099853515625,343.6400146484375,338.739990234375,340.6099853515625,5592896,253.375,255.1999969482422,250.75,251.92010498046875,8792005,334.8299865722656,335.0799865722656,331.3399963378906,333.19500732421875,9965651,78.97000122070312,80.30000305175781,78.48999786376953,79.81500244140625,9041100,657.6199951171875,663.9000244140625,649.25,653.1500854492188,5866575
2026-09-14 15:30:00+01:00,340.5851135253906,342.56500244140625,339.7900085449219,342.0015869140625,1518751,251.91009521484375,253.3800048828125,251.5800018310547,253.07000732421875,3238562,333.17999267578125,333.4670104980469,332.1180114746094,332.6600036621094,3912426,79.80000305175781,80.45829772949219,79.72000122070312,80.31999969482422,3356205,653.1799926757812,657.5399780273438,650.5001220703125,656.030029296875,1971694
2026-09-14 16:30:00+01:00,341.9800109863281,343.1000061035156,341.260009765625,342.5718078613281,1026027,253.02999877929688,254.72000122070312,252.85000610351562,253.41000366210938,3315918,332.6549987792969,335.5,332.6499938964844,334.5849914550781,4342623,80.31500244140625,80.83000183105469,80.25,80.70500183105469,3042809,656.02001953125,661.989990234375,655.6500244140625,660.5999755859375,1941129
2026-09-14 17:30:00+01:00,342.57000732421875,344.6199951171875,342.57000732421875,344.5400085449219,1677222,253.41000366210938,255.06500244140625,253.1999969482422,254.8699951171875,2481878,334.5899963378906,335.260009765625,334.0,334.6199951171875,2727094,80.70500183105469,81.01000213623047,80.58999633789062,80.63500213623047,2251738,660.5999755859375,666.219970703125,660.469970703125,665.4600219726562,1577679
2026-09-14 18:30:00+01:00,344.5400085449219,346.44000244140625,343.6000061035156,344.57000732421875,3867121,254.86000061035156,255.9499969482422,254.86000061035156,255.02999877929688,3280384,334.6199951171875,334.7149963378906,333.57000732421875,334.489990234375,1964124,80.63500213623047,80.81900024414062,80.46369934082031,80.73500061035156,1969645,665.6300048828125,668.5999755859375,663.8900146484375,667.8400268554688,1906042
2026-09-14 19:30:00+01:00,344.5199890136719,345.2900085449219,343.20001220703125,345.0150146484375,1670239,255.05999755859375,255.47999572753906,252.72999572753906,253.5749969482422,3340023,334.489990234375,335.4200134277344,333.4800109863281,334.3999938964844,3910657,80.74500274658203,80.77999877929688,80.2699966430664,80.42500305175781,2090135,667.8099975585938,668.1900024414062,664.0900268554688,665.760009765625,1204538
2026-09-14 20:30:00+01:00,345.0,345.9700012207031,344.3900146484375,345.739990234375,2209059,253.5749969482422,254.1199951171875,253.36000061035156,253.55999755859375,3975265,334.39990234375,334.5899963378906,333.0,333.04998779296875,4184614,80.41999816894531,80.4749984741211,80.12000274658203,80.33000183105469,4154108,665.760009765625,668.510009765625,664.5999755859375,665.7100219726562,1779203
2026-09-15 14:30:00+01:00,343.1549987792969,344.3599853515625,340.2200012207031,341.010009765625,2524408,252.375,253.27000427246094,249.125,249.60000610351562,7132448,330.260009765625,331.5899963378906,328.3500061035156,329.5400085449219,6573388,79.31999969482422,79.48079681396484,77.45999908447266,77.63999938964844,6362035,659.2999877929688,678.8699951171875,656.2000122070312,668.2150268554688,5583647
