Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-23 14:30:00+00:00,77.79000091552734,77.82499694824219,75.01000213623047,76.16000366210938,8773236,652.6599731445312,657.7000122070312,646.5150146484375,649.1199951171875,1337106,208.0399932861328,208.42999267578125,203.92999267578125,204.6291046142578,9891079,263.489990234375,267.739990234375,263.3810119628906,267.04998779296875,7631864,319.1000061035156,319.2799987792969,315.0899963378906,315.79998779296875,3573186
2026-02-23 15:30:00+00:00,76.16500091552734,76.23999786376953,75.18000030517578,75.91999816894531,4064775,649.114990234375,649.5999755859375,642.0499877929688,644.3800048828125,691895,204.60000610351562,205.13999938964844,203.5,204.4600067138672,4855931,267.0899963378906,267.5299072265625,264.75,266.5899963378906,1006448,315.760009765625,315.989990234375,311.8599853515625,314.1700134277344,2163463
2026-02-23 16:30:00+00:00,75.91999816894531,75.97000122070312,75.58000183105469,75.91999816894531,2466235,644.469970703125,644.8499755859375,641.6121826171875,643.1599731445312,1826212,204.43499755859375,204.6300048828125,203.36000061035156,203.44000244140625,3641828,266.57000732421875,267.34588623046875,265.8399963378906,267.1297912597656,2169664,314.0899963378906,314.6000061035156,313.44000244140625,313.9700012207031,883669
2026-02-23 17:30:00+00:00,75.92500305175781,76.2300033569336,75.70500183105469,76.05000305175781,8784785,643.0650024414062,644.4000244140625,641.2517700195312,643.5900268554688,0,203.42999267578125,204.7198944091797,203.11000061035156,204.42999267578125,3674100,267.10699462890625,269.3699951171875,266.8612060546875,269.3349914550781,2699181,313.989990234375,315.010009765625,312.9200134277344,314.6499938964844,789369
2026-02-23 18:30:00+00:00,76.05500030517578,76.44999694824219,75.87999725341797,76.1050033569336,0,643.5499877929688,644.0999755859375,638.7999877929688,639.10498046875,518374,204.42999267578125,204.57000732421875,203.25,204.3800048828125,3067412,269.3399963378906,269.42999267578125,267.25,267.29998779296875,2303781,314.6499938964844,314.6600036621094,312.67498779296875,312.7300109863281,790670
2026-02-23 19:30:00+00:00,76.10929870605469,76.38999938964844,75.88999938964844,75.90499877929688,1868637,639.1599731445312,640.2999877929688,636.0,637.5,628490,204.38999938964844,204.83999633789062,204.00999450683594,204.6699981689453,2877289,267.2701110839844,267.3299865722656,266.2799987792969,266.7799987792969,2444216,312.75,312.9898986816406,309.989990234375,311.5574951171875,1452327
2026-02-23 20:30:00+00:00,75.9000015258789,76.13999938964844,75.73500061035156,76.05000305175781,2880319,637.6400146484375,638.52001953125,636.1500244140625,637.3099975585938,690976,204.6699981689453,205.32000732421875,204.6699981689453,205.2899932861328,3302582,266.80999755859375,267.20001220703125,265.989990234375,266.3900146484375,2450818,311.5255126953125,311.8399963378906,310.57000732421875,311.7200012207031,1118323
2026-02-24 14:30:00+00:00,75.61199951171875,77.12000274658203,75.20999908447266,76.90499877929688,4938288,633.0202026367188,638.5499877929688,628.97998046875,635.5650024414062,1768050,205.47000122070312,207.88999938964844,203.25,207.75999450683594,7179961,268.0,274.8900146484375,267.739990234375,273.6700134277344,8122809,310.5625,310.8999938964844,306.0899963378906,309.4573059082031,2857974
