Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-09 14:30:00+00:00,277.8900146484375,280.0299987792969,277.3500061035156,277.70001220703125,5341504,666.7999877929688,666.7999877929688,653.3400268554688,656.719970703125,2277901,314.45001220703125,314.5715026855469,312.6199951171875,314.1424865722656,2063287,96.79000091552734,97.11000061035156,96.2300033569336,96.6449966430664,7862597,226.88999938964844,227.75,225.11000061035156,227.66000366210938,3766539
2025-12-09 15:30:00+00:00,277.70001220703125,278.0,277.0299987792969,277.4100036621094,2290151,656.719970703125,658.2957763671875,654.5999755859375,655.5,1193432,314.1424865722656,315.2699890136719,313.5400085449219,314.6199951171875,1009941,96.6449966430664,96.71499633789062,95.87999725341797,96.06500244140625,4915351,227.66000366210938,228.57000732421875,227.5,227.83999633789062,2190514
2025-12-09 16:30:00+00:00,277.4100036621094,278.1199951171875,277.20001220703125,277.875,1696929,655.5,657.423583984375,654.27001953125,655.3300170898438,766280,314.6400146484375,317.67999267578125,314.4599914550781,317.63079833984375,1191496,96.06500244140625,96.62999725341797,95.76000213623047,95.92500305175781,4367552,227.83999633789062,228.36000061035156,227.6999969482422,227.99000549316406,1465538
2025-12-09 17:30:00+00:00,277.875,278.739990234375,277.79998779296875,278.385009765625,1988455,655.3300170898438,657.6500244140625,653.7849731445312,657.4849853515625,779705,317.63079833984375,318.7088928222656,317.3299865722656,318.6700134277344,1262633,95.92500305175781,96.06999969482422,95.44999694824219,95.78379821777344,4083576,227.99000549316406,228.41000366210938,227.4199981689453,228.30999755859375,1240343
2025-12-09 18:30:00+00:00,278.385009765625,278.8900146484375,278.1199951171875,278.69000244140625,1262893,657.4849853515625,660.0900268554688,657.2999877929688,657.97998046875,764940,318.6700134277344,318.70001220703125,317.7101135253906,318.2799987792969,629339,95.78379821777344,97.19000244140625,95.75,96.58989715576172,5067300,228.30999755859375,228.41000366210938,227.91000366210938,227.97999572753906,1005503
2025-12-09 19:30:00+00:00,278.69000244140625,278.75,277.6499938964844,277.864990234375,1906538,657.97998046875,658.5,656.2899780273438,656.3499755859375,595350,318.2799987792969,318.4750061035156,317.58648681640625,317.9200134277344,764080,96.58000183105469,96.93000030517578,96.3499984741211,96.8499984741211,3500625,227.97999572753906,228.28370666503906,227.66409301757812,227.9149932861328,1275552
2025-12-09 20:30:00+00:00,277.864990234375,278.25,276.9200134277344,277.2300109863281,2737573,656.3499755859375,666.7999877929688,655.5999755859375,656.8200073242188,774237,317.9200134277344,318.0199890136719,314.45001220703125,317.7900085449219,1170453,96.8499984741211,97.23999786376953,96.44000244140625,96.70999908447266,4138582,227.91000366210938,228.0800018310547,226.88999938964844,227.89999389648438,1498414
2025-12-10 14:30:00+00:00,277.8699951171875,278.7929992675781,276.5849914550781,277.45001220703125,3868165,650.4000244140625,654.510009765625,647.3099975585938,651.3175048828125,1971573,316.6199951171875,319.5199890136719,315.3999938964844,318.739990234375,2497344,96.73500061035156,96.95999908447266,95.08000183105469,95.5250015258789,8028921,228.58999633789062,232.4199981689453,228.47000122070312,231.73500061035156,7146039
