Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04 14:30:00+01:00,382.32000732421875,384.1600036621094,377.92999267578125,378.95001220703125,5588600,268.9949951171875,273.3500061035156,268.8599853515625,271.9700012207031,10840725,607.9349975585938,608.2999877929688,602.7501220703125,605.5900268554688,4215544,279.6549987792969,280.6300048828125,274.860107421875,276.25360107421875,11843654,92.02999877929688,92.33000183105469,91.12200164794922,92.11499786376953,6369192
2026-05-04 15:30:00+01:00,378.8900146484375,380.32000732421875,376.7699890136719,378.6499938964844,2224052,271.9800109863281,276.1000061035156,271.75,273.5950012207031,11082155,605.6400146484375,613.7498779296875,605.3820190429688,608.2717895507812,3141713,276.2749938964844,278.0,276.07000732421875,276.8349914550781,5095478,92.13999938964844,92.30000305175781,91.62010192871094,91.7249984741211,2908637
2026-05-04 16:30:00+01:00,378.6400146484375,380.79998779296875,377.7601013183594,379.7532958984375,1765508,273.6499938964844,273.7099914550781,269.8999938964844,270.0801086425781,5941773,608.2401123046875,612.0900268554688,606.3516235351562,611.1599731445312,1407684,276.8500061035156,277.3699951171875,275.45001220703125,276.0899963378906,3294311,91.7300033569336,91.77999877929688,91.29989624023438,91.48500061035156,2324740
2026-05-04 17:30:00+01:00,379.7528076171875,381.32989501953125,379.3999938964844,380.94000244140625,1338326,270.44000244140625,271.69000244140625,269.739990234375,271.69000244140625,4717152,611.0999755859375,612.8699951171875,609.5900268554688,611.8099975585938,1081409,276.1000061035156,277.3399963378906,275.9800109863281,277.0400085449219,2386442,91.48500061035156,91.61000061035156,91.16999816894531,91.3550033569336,1890566
2026-05-04 18:30:00+01:00,380.94000244140625,381.79998779296875,380.32501220703125,380.92999267578125,1147270,271.6650085449219,272.05999755859375,270.6300048828125,271.2049865722656,3084221,611.6900024414062,614.0,611.1400146484375,612.156005859375,1107208,277.05999755859375,277.4200134277344,276.6300048828125,276.7699890136719,2422618,91.3499984741211,91.3499984741211,91.0,91.16709899902344,1894089
2026-05-04 19:30:00+01:00,380.7900085449219,380.989990234375,379.07000732421875,379.75,1129866,271.2300109863281,271.7200012207031,270.3900146484375,271.7200012207031,3717289,612.1199951171875,612.9299926757812,610.2100219726562,612.4000244140625,1753651,276.7699890136719,277.6700134277344,276.260009765625,277.0784912109375,3114535,91.16999816894531,91.38999938964844,91.06999969482422,91.1500015258789,2184515
2026-05-04 20:30:00+01:00,379.760009765625,380.2799987792969,379.0199890136719,379.489990234375,1879101,271.75,272.1099853515625,270.67999267578125,272.04998779296875,3839237,612.47998046875,613.219970703125,610.0999755859375,610.5399780273438,1516243,277.0799865722656,277.32000732421875,276.510009765625,276.8399963378906,4124586,91.15499877929688,91.28500366210938,90.91500091552734,91.04000091552734,3609258
2026-05-05 14:30:00+01:00,381.1499938964844,388.9599914550781,380.8399963378906,384.5050048828125,4286576,276.20001220703125,278.55999755859375,274.510009765625,275.9200134277344,13328745,613.3699951171875,614.3400268554688,603.580078125,604.5,3806697,276.8999938964844,281.3800048828125,276.5010070800781,281.19000244140625,9001566,91.20500183105469,91.2300033569336,88.88200378417969,88.88999938964844,10267586
